iter	Passed	Remaining
0	175	175622
1	184	92313
2	196	65259
3	206	51470
4	214	42751
5	223	37099
6	232	32991
7	244	30300
8	251	27727
9	262	26018
10	311	28050
11	338	27880
12	344	26176
13	352	24802
14	359	23620
15	366	22544
16	376	21776
17	383	20933
18	395	20396
19	406	19909
20	418	19524
21	424	18889
22	432	18387
23	438	17832
24	444	17324
25	451	16906
26	456	16458
27	462	16070
28	469	15716
29	475	15361
30	483	15110
31	489	14802
32	495	14506
33	501	14250
34	507	13985
35	514	13772
36	520	13549
37	526	13330
38	535	13183
39	542	13010
40	550	12868
41	557	12706
42	567	12630
43	576	12531
44	586	12455
45	594	12322
46	602	12221
47	609	12086
48	618	11999
49	625	11881
50	633	11793
51	639	11663
52	649	11610
53	656	11493
54	665	11426
55	671	11314
56	681	11267
57	687	11162
58	695	11090
59	701	10989
60	708	10899
61	715	10823
62	721	10728
63	730	10677
64	736	10587
65	743	10520
66	749	10435
67	755	10355
68	763	10302
69	772	10260
70	781	10231
71	788	10160
72	796	10115
73	802	10044
74	811	10011
75	817	9942
76	825	9894
77	832	9836
78	840	9796
79	848	9756
80	857	9733
81	864	9681
82	873	9647
83	879	9595
84	886	9547
85	894	9504
86	900	9455
87	909	9421
88	915	9369
89	922	9326
90	929	9285
91	937	9253
92	944	9209
93	950	9160
94	958	9126
95	963	9073
96	970	9032
97	975	8982
98	981	8931
99	987	8891
100	993	8845
101	999	8801
102	1007	8771
103	1012	8726
104	1019	8690
105	1025	8645
106	1030	8602
107	1038	8575
108	1045	8545
109	1058	8564
110	1071	8580
111	1079	8558
112	1088	8543
113	1095	8514
114	1105	8510
115	1114	8491
116	1123	8477
117	1131	8459
118	1142	8459
119	1152	8451
120	1158	8417
121	1164	8380
122	1171	8355
123	1177	8318
124	1184	8293
125	1190	8258
126	1196	8223
127	1203	8201
128	1209	8166
129	1216	8142
130	1222	8109
131	1228	8076
132	1236	8060
133	1242	8027
134	1249	8005
135	1255	7978
136	1261	7946
137	1269	7929
138	1275	7898
139	1281	7874
140	1289	7856
141	1295	7828
142	1303	7809
143	1309	7782
144	1319	7778
145	1325	7753
146	1334	7741
147	1340	7719
148	1348	7704
149	1354	7676
150	1359	7643
151	1366	7623
152	1371	7592
153	1376	7559
154	1384	7545
155	1388	7514
156	1396	7497
157	1402	7474
158	1410	7462
159	1418	7448
160	1426	7435
161	1434	7419
162	1441	7402
163	1452	7403
164	1459	7385
165	1470	7389
166	1482	7396
167	1489	7374
168	1501	7382
169	1506	7355
170	1516	7349
171	1521	7322
172	1529	7309
173	1535	7286
174	1544	7280
175	1549	7253
176	1554	7227
177	1562	7214
178	1567	7187
179	1572	7161
180	1579	7148
181	1584	7123
182	1590	7102
183	1599	7095
184	1606	7076
185	1615	7071
186	1621	7048
187	1629	7035
188	1633	7010
189	1640	6994
190	1645	6969
191	1650	6945
192	1657	6931
193	1662	6907
194	1667	6882
195	1675	6872
196	1682	6859
197	1691	6849
198	1698	6836
199	1708	6834
200	1714	6817
201	1726	6818
202	1732	6802
203	1743	6803
204	1749	6786
205	1759	6781
206	1765	6763
207	1775	6761
208	1782	6744
209	1791	6738
210	1795	6715
211	1803	6702
212	1808	6683
213	1814	6663
214	1822	6654
215	1828	6636
216	1836	6625
217	1843	6611
218	1852	6607
219	1859	6592
220	1868	6586
221	1874	6570
222	1881	6555
223	1889	6546
224	1896	6531
225	1905	6525
226	1912	6511
227	1921	6504
228	1927	6489
229	1935	6479
230	1942	6465
231	1949	6454
232	1956	6440
233	1963	6426
234	1970	6416
235	1977	6403
236	1986	6393
237	1992	6380
238	2000	6370
239	2007	6356
240	2015	6346
241	2021	6332
242	2027	6317
243	2034	6302
244	2039	6286
245	2046	6271
246	2051	6253
247	2057	6239
248	2064	6228
249	2072	6216
250	2078	6200
251	2088	6199
252	2098	6195
253	2104	6182
254	2114	6179
255	2121	6165
256	2131	6163
257	2137	6147
258	2145	6138
259	2150	6121
260	2155	6102
261	2164	6096
262	2169	6078
263	2174	6062
264	2179	6046
265	2184	6027
266	2189	6010
267	2195	5996
268	2200	5979
269	2205	5963
270	2213	5954
271	2220	5943
272	2232	5945
273	2238	5932
274	2248	5928
275	2253	5912
276	2262	5905
277	2267	5888
278	2275	5880
279	2281	5866
280	2286	5850
281	2292	5837
282	2297	5821
283	2302	5804
284	2308	5792
285	2314	5777
286	2319	5761
287	2325	5748
288	2329	5731
289	2335	5716
290	2342	5706
291	2349	5695
292	2355	5684
293	2365	5680
294	2378	5683
295	2390	5685
296	2397	5675
297	2407	5671
298	2414	5660
299	2425	5659
300	2432	5648
301	2443	5647
302	2448	5632
303	2457	5626
304	2462	5610
305	2468	5597
306	2476	5589
307	2482	5577
308	2493	5576
309	2500	5565
310	2508	5557
311	2513	5543
312	2523	5539
313	2529	5525
314	2540	5524
315	2546	5512
316	2556	5507
317	2562	5494
318	2571	5489
319	2578	5478
320	2586	5470
321	2593	5460
322	2599	5449
323	2609	5444
324	2621	5444
325	2628	5435
326	2640	5435
327	2650	5429
328	2659	5423
329	2667	5415
330	2673	5402
331	2679	5390
332	2687	5382
333	2692	5369
334	2700	5359
335	2705	5347
336	2711	5335
337	2718	5324
338	2724	5312
339	2732	5303
340	2740	5296
341	2753	5296
342	2761	5288
343	2770	5283
344	2785	5288
345	2792	5278
346	2801	5271
347	2809	5262
348	2825	5271
349	2833	5261
350	2839	5250
351	2845	5239
352	2852	5227
353	2858	5215
354	2864	5204
355	2870	5192
356	2876	5181
357	2882	5170
358	2889	5159
359	2902	5160
360	2914	5158
361	2921	5148
362	2933	5147
363	2939	5136
364	2949	5130
365	2955	5119
366	2968	5119
367	2980	5118
368	2986	5106
369	2997	5103
370	3004	5093
371	3014	5088
372	3020	5076
373	3028	5068
374	3035	5058
375	3047	5057
376	3055	5049
377	3067	5047
378	3080	5047
379	3087	5037
380	3095	5029
381	3102	5019
382	3110	5011
383	3117	5001
384	3129	4999
385	3142	4998
386	3179	5036
387	3208	5061
388	3217	5054
389	3231	5054
390	3238	5044
391	3243	5031
392	3250	5021
393	3256	5008
394	3261	4995
395	3269	4986
396	3274	4973
397	3279	4960
398	3287	4951
399	3293	4940
400	3300	4930
401	3307	4919
402	3311	4906
403	3323	4903
404	3329	4891
405	3336	4881
406	3341	4868
407	3348	4859
408	3354	4846
409	3359	4833
410	3364	4822
411	3369	4809
412	3374	4796
413	3383	4788
414	3388	4775
415	3396	4768
416	3404	4759
417	3410	4748
418	3416	4738
419	3421	4725
420	3427	4714
421	3433	4702
422	3438	4690
423	3443	4677
424	3449	4666
425	3454	4654
426	3458	4641
427	3464	4630
428	3469	4618
429	3474	4605
430	3480	4595
431	3485	4583
432	3490	4570
433	3496	4559
434	3501	4548
435	3506	4535
436	3512	4525
437	3517	4513
438	3522	4500
439	3527	4490
440	3535	4480
441	3543	4473
442	3549	4462
443	3554	4450
444	3560	4440
445	3565	4429
446	3570	4417
447	3576	4406
448	3581	4394
449	3585	4382
450	3592	4372
451	3599	4363
452	3604	4352
453	3612	4344
454	3617	4333
455	3623	4322
456	3630	4313
457	3635	4302
458	3642	4292
459	3646	4280
460	3651	4269
461	3657	4259
462	3662	4248
463	3667	4236
464	3674	4228
465	3682	4219
466	3690	4212
467	3695	4201
468	3700	4189
469	3705	4179
470	3710	4167
471	3716	4156
472	3721	4146
473	3727	4136
474	3731	4124
475	3736	4113
476	3743	4104
477	3748	4093
478	3753	4082
479	3759	4073
480	3764	4061
481	3769	4051
482	3775	4041
483	3780	4030
484	3785	4019
485	3791	4010
486	3797	4000
487	3804	3991
488	3808	3980
489	3813	3969
490	3819	3959
491	3825	3949
492	3832	3941
493	3842	3935
494	3847	3924
495	3853	3915
496	3858	3905
497	3863	3894
498	3869	3884
499	3874	3874
500	3879	3863
501	3885	3854
502	3890	3843
503	3894	3832
504	3901	3824
505	3907	3814
506	3912	3804
507	3919	3796
508	3923	3785
509	3928	3774
510	3935	3765
511	3940	3755
512	3944	3744
513	3951	3735
514	3956	3725
515	3960	3715
516	3967	3706
517	3972	3696
518	3977	3685
519	3986	3679
520	3994	3672
521	4001	3663
522	4006	3653
523	4010	3643
524	4017	3634
525	4022	3624
526	4027	3614
527	4034	3606
528	4039	3597
529	4044	3586
530	4052	3579
531	4059	3570
532	4069	3565
533	4075	3556
534	4083	3549
535	4090	3540
536	4095	3530
537	4106	3526
538	4111	3516
539	4119	3509
540	4126	3501
541	4138	3496
542	4144	3488
543	4153	3481
544	4160	3473
545	4172	3469
546	4181	3462
547	4189	3455
548	4194	3446
549	4199	3436
550	4204	3426
551	4210	3417
552	4216	3407
553	4221	3398
554	4226	3388
555	4231	3378
556	4235	3368
557	4241	3359
558	4252	3354
559	4257	3345
560	4266	3338
561	4271	3329
562	4281	3323
563	4286	3313
564	4294	3306
565	4300	3297
566	4306	3288
567	4314	3281
568	4319	3272
569	4327	3264
570	4335	3257
571	4346	3252
572	4353	3244
573	4362	3237
574	4367	3228
575	4375	3220
576	4380	3211
577	4385	3201
578	4392	3193
579	4397	3184
580	4402	3175
581	4408	3166
582	4413	3156
583	4418	3147
584	4424	3138
585	4429	3129
586	4433	3119
587	4439	3110
588	4444	3101
589	4449	3092
590	4455	3083
591	4460	3074
592	4465	3065
593	4472	3057
594	4478	3048
595	4483	3039
596	4494	3034
597	4505	3028
598	4512	3020
599	4518	3012
600	4525	3004
601	4530	2995
602	4537	2987
603	4542	2978
604	4548	2969
605	4555	2962
606	4561	2953
607	4568	2945
608	4574	2936
609	4579	2928
610	4585	2919
611	4591	2911
612	4597	2902
613	4603	2894
614	4609	2885
615	4617	2878
616	4623	2869
617	4628	2861
618	4635	2853
619	4641	2844
620	4647	2836
621	4654	2828
622	4665	2823
623	4670	2814
624	4676	2806
625	4683	2798
626	4688	2789
627	4694	2780
628	4701	2772
629	4706	2764
630	4712	2755
631	4718	2747
632	4724	2738
633	4730	2731
634	4736	2722
635	4742	2713
636	4748	2706
637	4754	2697
638	4760	2689
639	4767	2681
640	4772	2673
641	4779	2665
642	4785	2656
643	4791	2648
644	4798	2641
645	4803	2632
646	4809	2624
647	4816	2616
648	4822	2608
649	4829	2600
650	4835	2592
651	4841	2584
652	4849	2576
653	4856	2569
654	4866	2563
655	4872	2555
656	4879	2547
657	4885	2539
658	4891	2530
659	4897	2523
660	4903	2514
661	4908	2506
662	4915	2498
663	4922	2490
664	4928	2482
665	4934	2474
666	4939	2466
667	4947	2458
668	4953	2450
669	4959	2442
670	4965	2434
671	4971	2426
672	4978	2418
673	4983	2410
674	4989	2402
675	4996	2394
676	5002	2386
677	5009	2379
678	5019	2372
679	5026	2365
680	5032	2357
681	5037	2349
682	5045	2341
683	5050	2333
684	5057	2325
685	5062	2317
686	5068	2309
687	5075	2301
688	5080	2293
689	5086	2285
690	5093	2277
691	5098	2269
692	5104	2261
693	5111	2253
694	5116	2245
695	5123	2237
696	5129	2229
697	5135	2221
698	5141	2214
699	5147	2205
700	5153	2198
701	5160	2190
702	5165	2182
703	5171	2174
704	5177	2166
705	5182	2158
706	5188	2150
707	5193	2142
708	5199	2134
709	5206	2126
710	5212	2118
711	5222	2112
712	5230	2105
713	5235	2097
714	5242	2089
715	5248	2081
716	5254	2073
717	5260	2066
718	5265	2057
719	5271	2049
720	5276	2041
721	5281	2033
722	5287	2025
723	5292	2017
724	5297	2009
725	5303	2001
726	5308	1993
727	5313	1985
728	5319	1977
729	5324	1969
730	5329	1961
731	5335	1953
732	5340	1945
733	5344	1936
734	5351	1929
735	5356	1921
736	5361	1913
737	5370	1906
738	5378	1899
739	5384	1891
740	5389	1883
741	5394	1875
742	5401	1868
743	5406	1860
744	5411	1852
745	5417	1844
746	5423	1836
747	5428	1828
748	5434	1821
749	5439	1813
750	5444	1805
751	5450	1797
752	5456	1789
753	5461	1782
754	5468	1774
755	5473	1766
756	5478	1758
757	5484	1750
758	5489	1742
759	5494	1735
760	5500	1727
761	5505	1719
762	5510	1711
763	5519	1705
764	5527	1697
765	5535	1691
766	5540	1683
767	5545	1675
768	5551	1667
769	5556	1659
770	5561	1651
771	5567	1644
772	5572	1636
773	5578	1628
774	5584	1621
775	5589	1613
776	5594	1605
777	5600	1598
778	5606	1590
779	5610	1582
780	5616	1574
781	5621	1567
782	5626	1559
783	5632	1551
784	5637	1543
785	5642	1536
786	5648	1528
787	5653	1520
788	5658	1513
789	5665	1505
790	5672	1498
791	5682	1492
792	5687	1484
793	5692	1476
794	5697	1469
795	5702	1461
796	5707	1453
797	5714	1446
798	5719	1438
799	5723	1430
800	5730	1423
801	5735	1415
802	5739	1408
803	5746	1400
804	5751	1393
805	5756	1385
806	5763	1378
807	5768	1370
808	5774	1363
809	5780	1355
810	5785	1348
811	5791	1340
812	5797	1333
813	5802	1325
814	5808	1318
815	5813	1310
816	5817	1303
817	5827	1296
818	5835	1289
819	5841	1282
820	5846	1274
821	5851	1267
822	5856	1259
823	5861	1252
824	5866	1244
825	5871	1236
826	5877	1229
827	5882	1221
828	5887	1214
829	5893	1207
830	5898	1199
831	5903	1192
832	5909	1184
833	5914	1177
834	5919	1169
835	5925	1162
836	5930	1154
837	5934	1147
838	5940	1140
839	5946	1132
840	5951	1125
841	5957	1118
842	5962	1110
843	5967	1103
844	5974	1095
845	5979	1088
846	5984	1080
847	5990	1073
848	5995	1066
849	6000	1058
850	6006	1051
851	6011	1044
852	6016	1036
853	6025	1030
854	6033	1023
855	6041	1016
856	6047	1009
857	6054	1002
858	6060	994
859	6066	987
860	6074	980
861	6080	973
862	6086	966
863	6092	959
864	6098	951
865	6105	944
866	6110	937
867	6116	930
868	6122	922
869	6127	915
870	6132	908
871	6138	901
872	6143	893
873	6147	886
874	6153	879
875	6158	871
876	6163	864
877	6169	857
878	6175	850
879	6182	843
880	6190	836
881	6195	828
882	6201	821
883	6209	814
884	6213	807
885	6219	800
886	6224	792
887	6229	785
888	6235	778
889	6240	771
890	6245	764
891	6251	756
892	6256	749
893	6261	742
894	6267	735
895	6271	727
896	6276	720
897	6282	713
898	6288	706
899	6293	699
900	6300	692
901	6305	685
902	6309	677
903	6316	670
904	6321	663
905	6325	656
906	6333	649
907	6341	642
908	6348	635
909	6353	628
910	6357	621
911	6363	614
912	6368	606
913	6373	599
914	6380	592
915	6385	585
916	6390	578
917	6396	571
918	6401	564
919	6405	557
920	6410	549
921	6416	542
922	6422	535
923	6427	528
924	6432	521
925	6437	514
926	6442	507
927	6448	500
928	6453	493
929	6458	486
930	6464	479
931	6469	471
932	6473	464
933	6479	457
934	6486	450
935	6496	444
936	6501	437
937	6506	430
938	6512	423
939	6517	416
940	6522	408
941	6528	401
942	6533	394
943	6537	387
944	6543	380
945	6548	373
946	6553	366
947	6559	359
948	6564	352
949	6569	345
950	6574	338
951	6579	331
952	6584	324
953	6589	317
954	6595	310
955	6600	303
956	6605	296
957	6611	289
958	6616	282
959	6621	275
960	6627	268
961	6632	261
962	6637	255
963	6643	248
964	6648	241
965	6652	234
966	6659	227
967	6663	220
968	6668	213
969	6674	206
970	6679	199
971	6685	192
972	6695	185
973	6702	178
974	6708	172
975	6713	165
976	6718	158
977	6724	151
978	6730	144
979	6735	137
980	6741	130
981	6747	123
982	6752	116
983	6758	109
984	6763	102
985	6768	96
986	6774	89
987	6779	82
988	6784	75
989	6791	68
990	6796	61
991	6800	54
992	6807	47
993	6811	41
994	6816	34
995	6822	27
996	6828	20
997	6834	13
998	6842	6
999	6851	0
